perturbagen	entrez_gene_id	z_score	symbol	status	direction	nlog10_bonferroni_pval
2	991	-4.687	CDC20	measured	down	2.567
2	54438	4.551	GFOD1	measured	up	2.282
2	5950	4.590	RBP4	imputed	up	1.541
9	835	4.567	CASP2	measured	up	2.315
9	9093	-5.608	DNAJA3	measured	down	4.699
18	10668	-4.179	CGRRF1	measured	down	1.543
25	1958	5.151	EGR1	measured	up	3.596
25	6192	-4.913	RPS4Y1	imputed	down	2.235
30	30	6.644	ACAA1	measured	up	7.525
30	23576	-4.879	DDAH1	imputed	down	2.160
30	29911	4.233	HOOK2	measured	up	1.647
30	6793	5.104	STK10	measured	up	3.488
30	57215	-4.208	THAP11	measured	down	1.599
35	3491	-4.967	CYR61	imputed	down	2.355
35	11325	4.215	DDX42	measured	up	1.612
35	7018	4.903	TF	imputed	up	2.213
47	1066	7.195	CES1	imputed	up	8.392
47	55958	4.080	KLHL9	measured	up	1.356
47	4105	4.906	MAGEA6	imputed	up	2.220
47	5427	4.166	POLE2	measured	up	1.518
47	390	-5.502	RND3	imputed	down	3.613
60	57192	4.186	MCOLN1	measured	up	1.556
60	6443	4.265	SGCB	measured	up	1.709
81	23200	-5.068	ATP11B	measured	down	3.405
81	55450	-4.914	CAMK2N1	imputed	down	2.237
81	831	-4.936	CAST	measured	down	3.108
81	958	-4.074	CD40	measured	down	1.345
81	27122	-5.115	DKK3	imputed	down	2.691
81	10049	-6.317	DNAJB6	measured	down	6.584
81	10059	-5.067	DNM1L	measured	down	3.403
81	1829	-6.390	DSG2	measured	down	6.790
81	54512	4.124	EXOSC4	measured	up	1.439
81	9903	6.170	KLHL21	measured	up	6.175
81	51056	-7.015	LAP3	measured	down	8.648
81	4023	5.448	LPL	imputed	up	3.481
81	10046	6.219	MAMLD1	measured	up	6.310
81	57192	5.278	MCOLN1	measured	up	3.894
81	4232	-4.711	MEST	measured	down	2.618
81	4817	-4.156	NIT1	measured	down	1.499
81	4885	-6.035	NPTX2	imputed	down	4.987
81	4852	6.309	NPY	imputed	up	5.739
81	54681	4.388	P4HTM	measured	up	1.951
81	5321	-6.418	PLA2G4A	measured	down	6.870
81	5831	4.740	PYCR1	measured	up	2.680
81	23378	4.269	RRP8	measured	up	1.717
81	10285	-4.170	SMNDC1	measured	down	1.526
81	10417	-6.035	SPON2	imputed	down	4.987
81	8869	5.130	ST3GAL5	measured	up	3.548
81	51569	5.766	UFM1	measured	up	5.100
81	10451	4.623	VAV3	measured	up	2.432
81	7503	-5.013	XIST	imputed	down	2.459
88	79143	-4.659	MBOAT7	measured	down	2.508
91	9695	4.127	EDEM1	measured	up	1.444
91	10362	-5.175	HMG20B	measured	down	3.652
91	26520	-4.246	TIMM9	measured	down	1.672
93	16	-5.318	AARS	measured	down	3.989
93	10057	7.948	ABCC5	measured	up	11.732
93	65057	-4.358	ACD	measured	down	1.892
93	102	4.191	ADAM10	measured	up	1.566
93	2015	4.873	ADGRE1	imputed	up	2.147
93	976	4.561	ADGRE5	measured	up	2.303
93	9289	6.070	ADGRG1	measured	up	5.903
